frame_idx,timestamp,A_forehead_R_raw,A_forehead_G_raw,A_forehead_B_raw,A_forehead_R_BPF,A_forehead_G_BPF,A_forehead_B_BPF,A_forehead_R_BPFSG,A_forehead_G_BPFSG,A_forehead_B_BPFSG,A_forehead_rPPG,B_cheek_R_raw,B_cheek_G_raw,B_cheek_B_raw,B_cheek_R_BPF,B_cheek_G_BPF,B_cheek_B_BPF,B_cheek_R_BPFSG,B_cheek_G_BPFSG,B_cheek_B_BPFSG,B_cheek_rPPG,C_combined_R_raw,C_combined_G_raw,C_combined_B_raw,C_combined_R_BPF,C_combined_G_BPF,C_combined_B_BPF,C_combined_R_BPFSG,C_combined_G_BPFSG,C_combined_B_BPFSG,C_combined_rPPG
0,1777837100.586318,160.131954,119.160881,111.273698,3.886200,1.832016,1.811818,7.949486,3.706820,3.677224,-0.068652,167.943014,137.700918,127.963539,2.004527,2.223927,2.196726,4.916595,3.939325,4.191064,-0.047880,165.339327,131.520906,122.400259,2.631752,2.093290,2.068423,5.927559,3.861824,4.019784,0.012732
1,1777837100.645203,162.443845,120.730907,112.807502,8.407597,3.909024,3.870145,8.424807,3.936189,3.881285,-0.072873,168.204360,137.673126,127.868307,5.257695,4.124277,4.405275,5.241227,4.132092,4.405891,-0.049771,166.284189,132.025720,122.848039,6.307662,4.052526,4.226898,6.302420,4.066791,4.231022,0.021798
2,1777837100.692286,162.227314,120.932839,112.539533,11.093800,5.188374,5.059011,9.680705,4.540584,4.407314,-0.084320,168.805329,137.437787,127.946073,7.150189,5.212296,5.660828,6.111582,4.632492,4.969307,-0.054648,166.612657,131.936138,122.810560,8.464726,5.204322,5.460223,7.301290,4.601856,4.781976,0.048066
3,1777837100.743749,162.227314,120.932839,112.539533,12.219158,5.744011,5.497857,11.191367,5.261144,5.004488,-0.099408,168.805329,137.437787,127.946073,7.926011,5.632770,6.128162,7.195052,5.206231,5.627557,-0.060163,166.612657,131.936138,122.810560,9.357060,5.669851,5.918060,8.527157,5.224536,5.419867,0.088692
4,1777837100.792569,162.050090,120.775157,112.658131,12.105423,5.702704,5.332787,12.056939,5.663320,5.271006,-0.112420,168.359638,137.586181,127.745028,7.857325,5.498240,5.961282,7.887679,5.465181,5.943529,-0.062515,166.256455,131.982506,122.716062,9.273358,5.566395,5.751784,9.277432,5.531228,5.719355,0.138592
5,1777837100.839517,162.050090,120.775157,112.658131,11.022289,5.180617,4.674696,10.986880,5.148526,4.649216,-0.115936,168.359638,137.586181,127.745028,7.221844,4.883776,5.299077,7.265463,4.850109,5.279241,-0.056620,166.256455,131.982506,122.716062,8.488659,4.982723,5.090950,8.505935,4.949581,5.069233,0.189683
6,1777837100.899864,159.142334,119.225883,109.481697,9.278957,4.316964,3.728207,9.375808,4.353876,3.819695,-0.106896,168.238025,135.737778,126.571728,6.246548,3.910447,4.287156,6.313199,3.938024,4.319449,-0.041961,165.206128,130.233813,120.875051,7.257351,4.045953,4.100840,7.334069,4.076641,4.152865,0.247664
7,1777837100.953662,156.036391,117.304479,108.904823,7.333368,3.342038,2.810949,7.555516,3.448875,2.969161,-0.080272,167.474691,134.427778,124.860988,5.132798,2.792780,3.139199,5.228662,2.869204,3.230879,-0.011111,163.661925,128.720011,119.542266,5.866321,2.975866,3.029782,6.004280,3.062427,3.143640,0.314494
8,1777837100.999000,156.036391,117.304479,108.904823,5.590762,2.472066,2.120886,5.759037,2.559810,2.220808,-0.031140,167.474691,134.427778,124.860988,4.064622,1.702668,2.061619,4.139545,1.767416,2.148162,0.040976,163.661925,128.720011,119.542266,4.573335,1.959134,2.081375,4.679376,2.031547,2.172377,0.370178
9,1777837101.057235,157.649871,117.726098,110.506460,4.127389,1.758175,1.639082,4.137281,1.772652,1.635873,0.053137,168.855185,133.930864,125.165556,3.107873,0.696799,1.123195,3.116736,0.725367,1.162594,0.100981,165.120080,128.529276,120.279190,3.447712,1.050591,1.295157,3.456917,1.074462,1.320354,0.367051
10,1777837101.122521,157.649871,117.726098,110.506460,2.804061,1.146175,1.248122,2.757124,1.132635,1.209266,0.175025,168.855185,133.930864,125.165556,2.220210,-0.211523,0.302434,2.198346,-0.212571,0.306219,0.147862,165.120080,128.529276,120.279190,2.414827,0.241043,0.617663,2.384605,0.235831,0.607235,0.285197
11,1777837101.172071,155.433326,116.710049,109.977384,1.584631,0.617660,0.892180,1.599725,0.635434,0.885823,0.299114,168.530824,133.680556,125.087232,1.395982,-1.025500,-0.419862,1.397843,-1.047544,-0.445971,0.167547,164.164991,128.023720,120.050616,1.458865,-0.477780,0.017485,1.465137,-0.486551,-0.002040,0.146511
12,1777837101.237008,154.837810,116.259091,109.652686,0.567570,0.210902,0.592949,0.617572,0.246197,0.608476,0.381314,168.132704,133.202007,125.308501,0.686828,-1.741308,-1.062117,0.712549,-1.780385,-1.123318,0.153656,163.701072,127.554368,120.089896,0.647075,-1.090571,-0.510428,0.680890,-1.104858,-0.546053,-0.012030
13,1777837101.303478,154.837810,116.259091,109.652686,-0.223345,-0.063805,0.356911,-0.206905,-0.061437,0.352142,0.398442,168.132704,133.202007,125.308501,0.133831,-2.342582,-1.652750,0.150705,-2.374341,-1.707814,0.108001,163.701072,127.554368,120.089896,0.014772,-1.582990,-0.982863,0.031502,-1.603373,-1.021162,-0.149101
