frame_idx,timestamp,A_forehead_R_raw,A_forehead_G_raw,A_forehead_B_raw,A_forehead_R_BPF,A_forehead_G_BPF,A_forehead_B_BPF,A_forehead_R_BPFSG,A_forehead_G_BPFSG,A_forehead_B_BPFSG,A_forehead_rPPG,B_cheek_R_raw,B_cheek_G_raw,B_cheek_B_raw,B_cheek_R_BPF,B_cheek_G_BPF,B_cheek_B_BPF,B_cheek_R_BPFSG,B_cheek_G_BPFSG,B_cheek_B_BPFSG,B_cheek_rPPG,C_combined_R_raw,C_combined_G_raw,C_combined_B_raw,C_combined_R_BPF,C_combined_G_BPF,C_combined_B_BPF,C_combined_R_BPFSG,C_combined_G_BPFSG,C_combined_B_BPFSG,C_combined_rPPG
0,1777725425.619089,163.219985,140.040653,130.453901,0.370396,0.118582,0.048962,0.548184,0.159981,0.131200,-0.052627,144.380321,135.594679,123.234548,0.665625,0.555224,0.422551,1.088535,0.969733,0.832598,-0.043074,150.660209,137.076671,125.640999,0.567215,0.409677,0.298021,0.908418,0.699816,0.598799,0.000935
1,1777725425.649880,162.929458,139.471505,130.000253,0.560046,0.158804,0.145485,0.556705,0.167789,0.165662,-0.052796,144.595599,136.367893,123.940837,1.141720,1.032597,0.898362,1.142466,1.018762,0.900878,-0.042283,150.706885,137.402430,125.960642,0.947829,0.741333,0.647403,0.947213,0.735104,0.655806,0.002185
2,1777725425.669604,162.929458,139.471505,130.000253,0.646398,0.191927,0.262930,0.573513,0.180652,0.253344,-0.052945,144.595599,136.367893,123.940837,1.438975,1.313413,1.228720,1.288075,1.162682,1.094087,-0.040082,150.706885,137.402430,125.960642,1.174783,0.939584,0.906790,1.049888,0.835338,0.813840,0.005545
3,1777725425.694547,162.925532,140.067756,130.872214,0.650056,0.218709,0.391050,0.586006,0.185215,0.359862,-0.051973,144.277770,135.261006,123.468950,1.582715,1.435201,1.431237,1.477973,1.366814,1.357039,-0.036694,150.493690,136.863256,125.936705,1.271829,1.029704,1.084508,1.180651,0.972947,1.024647,0.009902
4,1777725425.710003,162.925532,140.067756,130.872214,0.579244,0.197278,0.470282,0.581575,0.181531,0.449602,-0.047963,144.277770,135.261006,123.468950,1.611483,1.497669,1.560432,1.625926,1.534304,1.573481,-0.031525,150.493690,136.863256,125.936705,1.267403,1.064206,1.197048,1.277809,1.083380,1.198855,0.013613
5,1777725425.758111,161.826633,139.112695,130.536915,0.478687,0.140789,0.482649,0.520874,0.165204,0.480002,-0.038136,143.762292,136.132986,124.340417,1.562978,1.521699,1.615035,1.591425,1.514871,1.587835,-0.021975,149.783739,137.126222,126.405916,1.201548,1.061396,1.237573,1.234575,1.064982,1.218557,0.014762
6,1777725425.773000,161.826633,139.112695,130.536915,0.428824,0.117197,0.451725,0.466042,0.146699,0.452344,-0.021887,143.762292,136.132986,124.340417,1.472769,1.448300,1.537113,1.495943,1.434765,1.522425,-0.013421,149.783739,137.126222,126.405916,1.124787,1.004599,1.175317,1.152643,1.005410,1.165731,0.014008
7,1777725425.839977,162.737209,139.839412,130.721378,0.433769,0.132688,0.380427,0.425635,0.128086,0.365217,0.007805,143.996866,135.261443,122.950292,1.339899,1.272557,1.341586,1.339260,1.289496,1.380864,-0.008289,150.243647,136.787433,125.540654,1.037856,0.892601,1.021200,1.034718,0.902360,1.042315,0.011062
8,1777725425.856514,162.737209,139.839412,130.721378,0.421546,0.131670,0.251158,0.402527,0.113548,0.233948,0.056654,143.996866,135.261443,122.950292,1.127549,1.044290,1.116349,1.107033,1.051279,1.143221,-0.009451,150.243647,136.787433,125.540654,0.892214,0.740083,0.827952,0.872197,0.738702,0.840130,0.005615
9,1777725425.910197,162.113728,139.486811,130.018893,0.372175,0.096484,0.076851,0.379101,0.092881,0.077949,0.113253,143.619577,135.821479,124.082113,0.813487,0.754912,0.850959,0.780481,0.709211,0.799547,-0.016260,149.784294,137.043256,126.061040,0.666383,0.535436,0.592923,0.646688,0.503767,0.559015,-0.001610
10,1777725425.923990,162.113728,139.486811,130.018893,0.318339,0.047916,-0.098488,0.324578,0.047533,-0.081987,0.158341,143.619577,135.821479,124.082113,0.392208,0.339292,0.438530,0.350478,0.279135,0.359843,-0.025027,149.784294,137.043256,126.061040,0.367585,0.242166,0.259524,0.341845,0.201935,0.212566,-0.009075
